sample_idx,predicted_class,original_prediction,baseline_prediction,r2_mean,method,deletion_auc,insertion_auc,gap_auc,n_positive_segments
28,1,1.0,0.0084176491945981,-1.4941579548733468,Relevancia a secas,0.6480768384456359,0.9855491518974304,0.3374723134517945,
28,1,1.0,0.0084176491945981,-1.4941579548733468,Relevancia absoluta,0.8739553140605696,0.9336519406901466,0.0596966266295769,
28,1,1.0,0.0084176491945981,-1.4941579548733468,Solo secciones positivas,0.7187500000536493,0.9674856066703796,0.2487356066167303,16.0
29,0,0.0130052650347352,0.0084176491945981,-4.162588787868553,Relevancia a secas,0.0631901679868557,0.0138982991791433,-0.0492918688077123,
29,0,0.0130052650347352,0.0084176491945981,-4.162588787868553,Relevancia absoluta,0.0106445342858528,0.0198410883830446,0.0091965540971917,
29,0,0.0130052650347352,0.0084176491945981,-4.162588787868553,Solo secciones positivas,0.1367207614084085,0.0114404518778125,-0.1252803095305959,15.0
30,0,0.0088047478348016,0.0084176491945981,-1.064778262851382,Relevancia a secas,0.023828535573557,0.0098665689713218,-0.0139619666022352,
30,0,0.0088047478348016,0.0084176491945981,-1.064778262851382,Relevancia absoluta,0.0100494264883713,0.0093307523315565,-0.0007186741568148,
30,0,0.0088047478348016,0.0084176491945981,-1.064778262851382,Solo secciones positivas,0.0418553178986677,0.0099499422626999,-0.0319053756359678,13.0
31,0,0.0075724488124251,0.0084176491945981,0.2328741435677153,Relevancia a secas,0.0097943766840866,0.0074539101283465,-0.0023404665557401,
31,0,0.0075724488124251,0.0084176491945981,0.2328741435677153,Relevancia absoluta,0.0083597228463206,0.0080460647919348,-0.0003136580543858,
31,0,0.0075724488124251,0.0084176491945981,0.2328741435677153,Solo secciones positivas,0.009891963971313,0.0067812306806445,-0.0031107332906685,8.0
32,0,0.0076857996173202,0.0084176491945981,0.3206975189407519,Relevancia a secas,0.0085236941231414,0.0079559244525929,-0.0005677696705485,
32,0,0.0076857996173202,0.0084176491945981,0.3206975189407519,Relevancia absoluta,0.0076666523754182,0.0087808493214348,0.0011141969460166,
32,0,0.0076857996173202,0.0084176491945981,0.3206975189407519,Solo secciones positivas,0.0096848893112369,0.0068823298705475,-0.0028025594406894,7.0
33,0,0.009448992088437,0.0084176491945981,-0.0730473248536087,Relevancia a secas,0.1236879755875893,0.006042897475085,-0.1176450781125043,
33,0,0.009448992088437,0.0084176491945981,-0.0730473248536087,Relevancia absoluta,0.0096899935576532,0.0097036801677729,1.3686610119682807e-05,
33,0,0.009448992088437,0.0084176491945981,-0.0730473248536087,Solo secciones positivas,0.2199060423847507,0.0043665070826297,-0.215539535302121,17.0
34,0,0.008784526027739,0.0084176491945981,0.007578024026449,Relevancia a secas,0.0095298917343219,0.008937118626717,-0.0005927731076048,
34,0,0.008784526027739,0.0084176491945981,0.007578024026449,Relevancia absoluta,0.0086586632403648,0.0091952956022901,0.0005366323619253,
34,0,0.008784526027739,0.0084176491945981,0.007578024026449,Solo secciones positivas,0.0113153518177568,0.0083263559499755,-0.0029889958677813,8.0
35,0,0.0081287138164043,0.0084176491945981,-0.0747023883897659,Relevancia a secas,0.0083980195405375,0.0081813341627518,-0.0002166853777857,
35,0,0.0081287138164043,0.0084176491945981,-0.0747023883897659,Relevancia absoluta,0.0083980195405375,0.0081813341627518,-0.0002166853777857,
35,0,0.0081287138164043,0.0084176491945981,-0.0747023883897659,Solo secciones positivas,,,,0.0
36,1,0.919595181941986,0.0084176491945981,-1.2773175339059455,Relevancia a secas,0.3762508457548011,0.9776173796918656,0.6013665339370645,
36,1,0.919595181941986,0.0084176491945981,-1.2773175339059455,Relevancia absoluta,0.8048405847310075,0.9535703222370808,0.1487297375060734,
36,1,0.919595181941986,0.0084176491945981,-1.2773175339059455,Solo secciones positivas,0.082863054862524,0.9708353070651784,0.8879722522026543,17.0
37,1,1.0,0.0084176491945981,-1.2153418462962933,Relevancia a secas,0.1239655434355851,0.8195612040391103,0.6955956606035251,
37,1,1.0,0.0084176491945981,-1.2153418462962933,Relevancia absoluta,0.8202051870110975,0.5141246921858021,-0.3060804948252953,
37,1,1.0,0.0084176491945981,-1.2153418462962933,Solo secciones positivas,0.0238123948463947,0.6906766109064423,0.6668642160600475,21.0
38,0,0.0095390183851122,0.0084176491945981,-1.1082951566740349,Relevancia a secas,0.7022172988185452,0.3098478958815526,-0.3923694029369926,
38,0,0.0095390183851122,0.0084176491945981,-1.1082951566740349,Relevancia absoluta,0.4232776279670816,0.6159988556367656,0.1927212276696839,
38,0,0.0095390183851122,0.0084176491945981,-1.1082951566740349,Solo secciones positivas,0.8454315213020891,0.5206901004938231,-0.3247414208082659,16.0
39,1,0.7744925618171692,0.0084176491945981,-0.6913775051381429,Relevancia a secas,0.0240539777435867,0.586437977142244,0.5623839993986572,
39,1,0.7744925618171692,0.0084176491945981,-0.6913775051381429,Relevancia absoluta,0.0249400937940027,0.4028816127748643,0.3779415189808615,
39,1,0.7744925618171692,0.0084176491945981,-0.6913775051381429,Solo secciones positivas,0.0453543736762452,0.7084678816670357,0.6631135079907905,19.0
40,0,0.0122842686250805,0.0084176491945981,-0.848740322590289,Relevancia a secas,0.5579774883549867,0.1408483993857064,-0.4171290889692803,
40,0,0.0122842686250805,0.0084176491945981,-0.848740322590289,Relevancia absoluta,0.5256325116950191,0.5349376337964916,0.0093051221014724,
40,0,0.0122842686250805,0.0084176491945981,-0.848740322590289,Solo secciones positivas,0.8220157269388437,0.1341946361819282,-0.6878210907569156,20.0
41,0,0.0842032060027122,0.0084176491945981,-0.8637774098164368,Relevancia a secas,0.5259326252788822,0.1481646637656674,-0.3777679615132148,
41,0,0.0842032060027122,0.0084176491945981,-0.8637774098164368,Relevancia absoluta,0.4189525377721069,0.4933689833204779,0.074416445548371,
41,0,0.0842032060027122,0.0084176491945981,-0.8637774098164368,Solo secciones positivas,0.9172494371732076,0.0014439941394812,-0.9158054430337264,15.0
42,1,1.0,0.0084176491945981,-0.8833569824224199,Relevancia a secas,0.0701293390688666,0.9029122564792892,0.8327829174104224,
42,1,1.0,0.0084176491945981,-0.8833569824224199,Relevancia absoluta,0.287364333364379,0.8835807780689922,0.5962164447046131,
42,1,1.0,0.0084176491945981,-0.8833569824224199,Solo secciones positivas,0.0217401213360742,0.8480376741575564,0.8262975528214821,23.0
43,1,1.0,0.0084176491945981,-0.6379040099724461,Relevancia a secas,0.1516803594132773,0.9063491056740128,0.7546687462607355,
43,1,1.0,0.0084176491945981,-0.6379040099724461,Relevancia absoluta,0.3563029040537159,0.7362269170116633,0.3799240129579474,
43,1,1.0,0.0084176491945981,-0.6379040099724461,Solo secciones positivas,0.0762462427741602,0.8225562002244454,0.7463099574502852,19.0
44,1,1.0,0.0084176491945981,-0.9715655749234342,Relevancia a secas,0.5963610548452323,0.9833606580893198,0.3869996032440875,
44,1,1.0,0.0084176491945981,-0.9715655749234342,Relevancia absoluta,0.9306131974929788,0.790775195074275,-0.1398380024187039,
44,1,1.0,0.0084176491945981,-0.9715655749234342,Solo secciones positivas,0.124875516893443,0.969013050198555,0.844137533305112,16.0
45,1,1.0,0.0084176491945981,-0.6103245422797456,Relevancia a secas,0.0332094111731368,0.9310205595878264,0.8978111484146896,
45,1,1.0,0.0084176491945981,-0.6103245422797456,Relevancia absoluta,0.3242062809689564,0.8537530018899513,0.529546720920995,
45,1,1.0,0.0084176491945981,-0.6103245422797456,Solo secciones positivas,0.0233830324249564,0.8871252835643563,0.8637422511393998,22.0
46,0,0.2508697211742401,0.0084176491945981,-0.5100074277867455,Relevancia a secas,0.5137198622234994,0.2457373764960849,-0.2679824857274144,
46,0,0.2508697211742401,0.0084176491945981,-0.5100074277867455,Relevancia absoluta,0.2113010994572606,0.3098012996423575,0.0985002001850968,
46,0,0.2508697211742401,0.0084176491945981,-0.5100074277867455,Solo secciones positivas,0.9282342791557312,0.0011796193651704,-0.9270546597905608,14.0
47,0,0.0079506812617182,0.0084176491945981,0.2574786082363731,Relevancia a secas,0.0090471242687531,0.0079566715152135,-0.0010904527535395,
47,0,0.0079506812617182,0.0084176491945981,0.2574786082363731,Relevancia absoluta,0.0084516273944505,0.0084604594590408,8.832064590283059e-06,
47,0,0.0079506812617182,0.0084176491945981,0.2574786082363731,Solo secciones positivas,0.0098712664718429,0.0073876171890232,-0.0024836492828196,9.0
