sample_idx,original_prediction,baseline_prediction,predicted_class,r2_mean,r2_std,deletion_auc_abs,insertion_auc_abs,gap_auc_abs,deletion_auc_positive_first,insertion_auc_positive_first,gap_auc_positive_first,n_segments,n_positive_segments,error
49,0.1032646894454956,0.0084176491945981,0,-0.817575813951876,0.6532736242314786,0.7082175847867298,0.7251525167375803,0.0169349319508504,0.853193312831637,0.6321600332584013,-0.2210332795732357,36,21,
50,0.9999622106552124,0.0084176491945981,1,-0.3618207390749149,0.7033102843518727,0.4073507996899863,0.9861747374137242,0.5788239377237379,0.3890936899960653,0.9860298054085838,0.5969361154125183,36,16,
51,0.2329295426607132,0.0084176491945981,0,-0.5862719877400531,0.6465488366938449,0.7822601022716197,0.2131217394256737,-0.569138362845946,0.9047969611258142,0.2401187199188075,-0.6646782412070067,36,18,
52,1.0,0.0084176491945981,1,-0.3997237010819551,0.1984263103831456,0.5605465994756387,0.9310039887075416,0.3704573892319028,0.2287953233620093,0.9310044291196392,0.7022091057576298,36,24,
53,0.2242033332586288,0.0084176491945981,0,-0.7102365504945058,0.4238310126386164,0.0264084030671117,0.3956352580571547,0.369226854990043,0.6721499260424431,0.2443540441705004,-0.4277958818719426,36,17,
54,0.0080090947449207,0.0084176491945981,0,0.3376735245776673,0.2072337298006219,0.0094099705004029,0.0076054254701981,-0.0018045450302047,0.0155924331500298,0.0067470551132121,-0.0088453780368177,36,15,
55,0.9999998807907104,0.0084176491945981,1,-0.5894890006847227,0.6476743104070221,0.8796293474038082,0.6055408052404904,-0.2740885421633178,0.2310194132900917,0.7642956326534558,0.533276219363364,36,17,
56,0.0310380365699529,0.0084176491945981,0,-0.9483358912557392,0.3201148737481757,0.0598052180139347,0.0891314840151204,0.0293262660011856,0.3763889111319763,0.1524642246107659,-0.2239246865212104,36,19,
57,0.0082065416499972,0.0084176491945981,0,0.0254766872003541,0.1073984169506638,0.0086538163789858,0.0081773579068895,-0.0004764584720962,0.0087283209173215,0.008165790595942,-0.0005625303213795,36,3,
58,0.9999885559082032,0.0084176491945981,1,-0.4878044851039593,0.5168460765928916,0.7132728173761285,0.6753771413362755,-0.037895676039853,0.4982735967525673,0.9636311299271056,0.4653575331745382,36,11,
